Date,Open,High,Low,Close
06/26/2023,"15,057.80","15,152.50","14,853.50","14,856.50"
06/23/2023,"15,236.00","15,236.00","14,985.20","15,058.30"
06/22/2023,"15,038.80","15,238.00","14,964.00","15,214.80"
06/21/2023,"15,247.50","15,273.30","15,002.30","15,044.00"
06/20/2023,"15,244.50","15,310.80","15,126.50","15,256.50"
06/16/2023,"15,368.00","15,475.50","15,258.50","15,268.00"
06/15/2023,"15,222.00","15,441.00","15,066.00","15,374.00"
06/14/2023,"15,110.30","15,243.50","14,976.00","15,199.30"
06/13/2023,"15,006.50","15,151.30","14,963.00","15,099.00"
06/12/2023,"14,734.50","15,011.50","14,732.00","14,986.80"
06/09/2023,"14,692.30","14,866.80","14,635.50","14,735.80"
06/08/2023,"14,489.80","14,702.80","14,425.00","14,678.80"
06/07/2023,"14,594.50","14,675.00","14,305.50","14,331.50"
06/06/2023,"14,582.00","14,623.80","14,504.50","14,586.50"
06/05/2023,"14,577.00","14,694.80","14,512.80","14,588.80"
06/02/2023,"14,494.00","14,627.80","14,468.30","14,575.30"
06/01/2023,"14,289.50","14,528.30","14,248.30","14,472.30"
05/31/2023,"14,397.30","14,429.00","14,251.30","14,300.50"
05/30/2023,"14,399.50","14,570.00","14,336.80","14,396.70"
05/26/2023,"13,977.70","14,369.00","13,924.50","14,332.50"
05/25/2023,"13,877.00","14,031.30","13,803.00","13,976.50"
05/24/2023,"13,729.00","13,845.80","13,566.50","13,650.20"
05/23/2023,"13,913.30","13,979.30","13,710.00","13,728.80"
05/22/2023,"13,805.50","13,946.80","13,794.30","13,902.50"
05/19/2023,"13,908.50","13,960.30","13,814.30","13,858.00"
05/18/2023,"13,640.50","13,913.00","13,628.30","13,894.00"
05/17/2023,"13,498.50","13,669.00","13,474.30","13,643.50"
05/16/2023,"13,461.00","13,554.50","13,426.30","13,483.30"
05/15/2023,"13,378.80","13,480.00","13,350.00","13,468.00"
05/12/2023,"13,446.00","13,494.30","13,310.50","13,396.30"
05/11/2023,"13,410.00","13,470.30","13,361.50","13,446.50"
05/10/2023,"13,258.70","13,446.80","13,202.80","13,409.50"
05/09/2023,"13,338.50","13,347.00","13,250.50","13,264.80"
05/08/2023,"13,316.00","13,368.00","13,254.50","13,352.30"
05/05/2023,"13,060.00","13,359.00","13,055.80","13,317.80"
05/04/2023,"13,064.00","13,173.00","13,001.80","13,043.80"
05/03/2023,"13,162.00","13,314.00","13,080.00","13,100.70"
05/02/2023,"13,290.00","13,334.80","13,110.30","13,184.50"
05/01/2023,"13,317.00","13,370.30","13,258.70","13,306.80"
04/28/2023,"13,215.00","13,336.00","13,169.00","13,320.30"
04/27/2023,"12,965.00","13,333.00","12,936.00","13,231.20"
04/26/2023,"12,940.00","13,012.30","12,863.80","12,887.80"
04/25/2023,"13,050.30","13,059.50","12,800.00","12,809.50"
04/24/2023,"13,070.00","13,134.00","12,967.30","13,056.50"
04/21/2023,"13,089.00","13,122.00","12,982.50","13,090.50"
04/20/2023,"13,162.00","13,200.00","13,021.80","13,074.30"
04/19/2023,"13,170.50","13,226.80","13,065.00","13,183.00"
04/18/2023,"13,184.00","13,298.80","13,138.00","13,193.00"
04/17/2023,"13,212.50","13,218.00","13,076.80","13,186.50"
04/14/2023,"13,183.00","13,255.00","13,058.00","13,181.20"
04/13/2023,"12,957.00","13,228.00","12,925.50","13,209.80"
04/12/2023,"13,073.80","13,241.80","12,937.80","12,952.30"
04/11/2023,"13,163.30","13,208.80","13,053.50","13,074.80"
04/10/2023,"13,179.80","13,203.20","12,967.50","13,158.00"
04/06/2023,"13,072.80","13,191.00","12,953.30","13,170.80"
04/05/2023,"13,230.00","13,247.30","13,006.00","13,079.80"
04/04/2023,"13,259.00","13,348.80","13,168.30","13,219.00"
04/03/2023,"13,262.00","13,278.80","13,154.00","13,270.00"
03/31/2023,"13,084.30","13,311.50","13,057.50","13,301.80"
03/30/2023,"12,962.50","13,111.70","12,931.50","13,082.00"
03/29/2023,"12,745.50","12,994.00","12,742.00","12,965.00"
03/28/2023,"12,810.50","12,833.50","12,634.20","12,732.50"
03/27/2023,"12,916.00","12,984.50","12,765.50","12,788.50"
03/24/2023,"12,871.50","12,924.80","12,728.00","12,890.30"
03/23/2023,"12,695.00","13,031.00","12,694.30","12,854.00"
03/22/2023,"12,873.20","13,082.00","12,678.00","12,707.00"
03/21/2023,"12,699.80","12,898.20","12,676.50","12,867.30"
03/20/2023,"12,690.00","12,750.00","12,525.30","12,688.50"
03/17/2023,"12,708.00","12,811.30","12,569.50","12,644.80"
03/16/2023,"12,398.80","12,735.80","12,314.00","12,715.50"
03/15/2023,"12,329.80","12,407.50","12,096.80","12,377.80"
03/14/2023,"12,080.00","12,356.50","12,032.30","12,337.00"
03/13/2023,"12,014.00","12,222.80","11,806.30","12,055.00"
03/10/2023,"12,138.50","12,249.30","11,925.80","11,969.00"
03/09/2023,"12,379.80","12,493.30","12,114.30","12,144.30"
03/08/2023,"12,170.00","12,254.50","12,108.30","12,228.30"
03/07/2023,"12,320.30","12,381.30","12,142.30","12,169.00"
03/06/2023,"12,306.30","12,486.30","12,276.30","12,323.50"
03/03/2023,"12,049.00","12,329.00","12,012.00","12,311.30"
03/02/2023,"11,967.00","12,096.30","11,832.50","12,062.00"
03/01/2023,"12,041.30","12,141.80","11,924.80","11,961.80"
02/28/2023,"12,093.50","12,172.80","12,025.80","12,072.30"
02/27/2023,"12,003.00","12,189.50","11,990.00","12,083.30"
02/24/2023,"12,190.00","12,214.50","11,923.00","11,997.00"
02/23/2023,"12,176.30","12,261.00","12,028.50","12,207.50"
02/22/2023,"12,108.00","12,190.50","12,034.00","12,097.50"
02/21/2023,"12,369.30","12,379.50","12,090.30","12,096.80"
02/17/2023,"12,462.50","12,466.30","12,265.80","12,390.00"
02/16/2023,"12,740.00","12,792.70","12,455.30","12,482.50"
02/15/2023,"12,620.80","12,756.50","12,524.30","12,730.00"
02/10/2023,"12,448.80","12,451.50","12,243.30","12,346.30"
02/09/2023,"12,555.00","12,728.50","12,366.50","12,425.50"
02/08/2023,"12,747.00","12,808.50","12,512.80","12,545.30"
02/07/2023,"12,513.00","12,818.50","12,459.30","12,776.80"
02/06/2023,"12,572.00","12,608.50","12,455.80","12,515.50"
02/03/2023,"12,748.20","12,878.00","12,551.20","12,624.00"
02/02/2023,"12,520.00","12,949.80","12,501.80","12,846.80"
02/01/2023,"12,116.00","12,524.50","12,055.30","12,414.30"
01/31/2023,"11,984.00","12,156.00","11,871.00","12,152.00"
01/30/2023,"12,212.50","12,252.00","11,960.00","11,968.00"
01/27/2023,"12,049.00","12,308.50","12,016.00","12,222.30"
01/26/2023,"11,874.80","12,113.00","11,867.30","12,106.80"
01/25/2023,"11,970.50","11,976.50","11,604.50","11,873.30"
01/24/2023,"11,933.00","12,010.50","11,835.80","11,909.50"
01/23/2023,"11,676.80","11,983.00","11,650.50","11,934.00"
01/20/2023,"11,401.00","11,686.80","11,365.30","11,677.00"
01/19/2023,"11,470.50","11,487.00","11,308.50","11,356.50"
01/18/2023,"11,619.80","11,759.50","11,468.00","11,475.80"
01/17/2023,"11,570.00","11,685.00","11,530.50","11,624.50"
01/13/2023,"11,528.50","11,619.50","11,389.00","11,608.00"
01/12/2023,"11,474.50","11,579.80","11,291.00","11,534.30"
01/11/2023,"11,282.50","11,479.50","11,239.80","11,476.50"
01/10/2023,"11,184.80","11,288.80","11,094.00","11,282.00"
01/09/2023,"11,126.50","11,385.50","11,120.30","11,185.50"
01/06/2023,"10,838.80","11,165.80","10,751.00","11,113.50"
01/05/2023,"10,988.50","11,046.80","10,805.00","10,820.30"
01/04/2023,"10,941.30","11,068.50","10,863.50","10,999.30"
01/03/2023,"11,122.50","11,182.00","10,844.80","10,945.50"
12/30/2022,"11,033.50","11,051.50","10,855.50","11,022.30"
12/29/2022,"10,785.80","11,071.50","10,777.50","11,032.80"
12/28/2022,"10,915.80","10,996.50","10,758.80","10,772.80"
12/27/2022,"11,104.00","11,183.80","10,896.00","10,915.50"
12/23/2022,"11,061.00","11,143.00","10,916.30","11,075.30"
12/22/2022,"11,357.00","11,384.80","10,870.50","11,054.30"
12/21/2022,"11,206.50","11,389.80","11,181.00","11,334.50"
12/20/2022,"11,182.50","11,247.00","11,043.50","11,175.80"
12/19/2022,"11,328.80","11,411.00","11,131.80","11,193.30"
12/16/2022,"11,446.50","11,491.50","11,275.50","11,344.80"
12/15/2022,"11,884.30","11,898.00","11,404.00","11,457.00"
12/14/2022,"11,955.00","12,069.50","11,729.00","11,869.00"
12/13/2022,"11,816.80","12,384.00","11,797.30","11,958.80"
12/12/2022,"11,671.50","11,834.50","11,635.80","11,829.80"
12/09/2022,"11,755.30","11,861.30","11,629.30","11,683.00"
12/08/2022,"11,619.00","11,799.50","11,547.50","11,759.00"
12/07/2022,"11,566.00","11,596.30","11,422.50","11,509.50"
12/06/2022,"11,812.00","11,846.30","11,502.00","11,566.00"
12/05/2022,"12,000.50","12,015.80","11,745.30","11,805.80"
12/02/2022,"12,039.80","12,067.80","11,740.50","12,010.30"
12/01/2022,"12,079.30","12,145.00","11,943.30","12,062.80"
11/30/2022,"11,520.00","12,078.50","11,497.80","12,042.30"
11/29/2022,"11,625.00","11,704.50","11,465.00","11,524.80"
11/28/2022,"11,731.30","11,788.50","11,575.30","11,616.30"
